siteID,taxonID,weight
BART,MYGA,16
BART,MYGA,18
BART,MYGA,25
BART,NAIN,29
BART,NAIN,35
BART,NAIN,26
BART,NAIN,31
BART,NAIN,13
BART,NAIN,28
BART,NAIN,15
BART,PELE,23
BART,PELE,25
BART,PEMA,24
BART,PEMA,22
BART,PEMA,20
BART,PEMA,17
BART,PEMA,17
BART,PEMA,14
BART,PEMA,13
BART,PEMA,14
BART,NAIN,37
BART,NAIN,15
BART,NAIN,33
BART,NAIN,34
BART,PELE,18
BART,PELE,17
BART,PELE,19
BART,PELE,23
BART,PELE,22
BART,PELE,18
BART,PELE,16
BART,PELE,18
BART,PELE,18
BART,PELE,23
BART,PEMA,22
BART,PEMA,23
BART,NAIN,23
BART,NAIN,23
BART,NAIN,27
BART,NAIN,30
BART,NAIN,21.5
BART,NAIN,35
BART,NAIN,26.5
BART,NAIN,30
BART,NAIN,26
BART,NAIN,24
BART,NAIN,19
BART,NAIN,25
BART,NAIN,21
BART,NAIN,14
BART,NAIN,23
BART,NAIN,24
BART,NAIN,25
BART,NAIN,27
BART,NAIN,27
BART,NAIN,21
BART,NAIN,27.5
BART,NAIN,26
BART,NAIN,29
BART,NAIN,26
BART,NAIN,26
BART,NAIN,28
BART,NAIN,24
BART,NAIN,22
BART,NAIN,29
BART,NAIN,28
BART,NAIN,27
BART,NAIN,34
BART,NAIN,17
BART,NAIN,33
BART,NAIN,30
BART,NAIN,23
BART,NAIN,24
BART,NAIN,26
BART,NAIN,25
BART,NAIN,17
BART,NAIN,20
BART,NAIN,30
BART,NAIN,15
BART,PELE,15
BART,PELE,17
BART,PELE,18
BART,PELE,19.5
BART,PELE,16.5
BART,PELE,18
BART,PELE,16
BART,PELE,13
BART,PELE,22
BART,PELE,14
BART,PELE,17
BART,PELE,14
BART,PELE,12
BART,PEMA,10
BART,PEMA,15
BART,PEMA,18
BART,PEMA,14.5
BART,PEMA,20
BART,PEMA,17.5
BART,PEMA,19
BART,PEMA,20
BART,PEMA,17
BART,PEMA,20
BART,PEMA,20
BART,PEMA,22
BART,PEMA,21
BART,PEMA,25
BART,PEMA,26
BART,PEMA,18
BART,PEMA,14
BART,MYGA,23
BART,NAIN,24.5
BART,NAIN,23
BART,NAIN,28
BART,NAIN,34
BART,NAIN,23
BART,NAIN,31
BART,NAIN,NA
BART,NAIN,24
BART,NAIN,23
BART,NAIN,15
BART,NAIN,24
BART,NAIN,NA
BART,NAIN,NA
BART,NAIN,18
BART,NAIN,24
BART,NAIN,35
BART,NAIN,30.5
BART,NAIN,26
BART,NAIN,30
BART,NAIN,22.5
BART,NAIN,28
BART,NAIN,29
BART,NAIN,13
BART,NAIN,29
BART,NAIN,28
BART,NAIN,22
BART,NAIN,22
BART,NAIN,25.5
BART,NAIN,24.5
BART,NAIN,26
BART,NAIN,22
BART,NAIN,17
BART,NAIN,23
BART,NAIN,22
BART,NAIN,28
BART,NAIN,19
BART,NAIN,21
BART,NAIN,23.5
BART,NAIN,18
BART,NAIN,19
BART,NAIN,11
BART,NAIN,19
BART,NAIN,16
BART,NAIN,19
BART,NAIN,26
BART,NAIN,20
BART,NAIN,20
BART,NAIN,24
BART,NAIN,25
BART,NAIN,NA
BART,NAIN,19
BART,NAIN,25
BART,NAIN,23
BART,PELE,24
BART,PELE,22
BART,PELE,19
BART,PELE,19
BART,PELE,21
BART,PEMA,22
BART,PEMA,25
BART,PEMA,24.5
BART,PEMA,18
BART,PEMA,21
BART,PEMA,18
BART,PEMA,19
BART,PEMA,26
BART,PEMA,21
BART,PEMA,15
BART,PEMA,22
BART,PEMA,20
BART,PEMA,21
BART,PEMA,22
BART,PEMA,17
BART,PEMA,16
BART,PEMA,21
BART,PEMA,20
BART,PEMA,19
BART,PEMA,17
BART,PEMA,22
BART,PEMA,16
BART,PEMA,13
BART,NAIN,28
BART,NAIN,32
BART,NAIN,25
BART,NAIN,23
BART,NAIN,19
BART,NAIN,21
BART,NAIN,21.5
BART,NAIN,22
BART,NAIN,27
BART,NAIN,26
BART,NAIN,23
BART,NAIN,24.5
BART,NAIN,23
BART,PELE,19
BART,PELE,15
BART,PELE,20
BART,PELE,20
BART,PEMA,23
BART,PEMA,19
BART,PEMA,22
BART,PEMA,17
BART,PEMA,17
BART,PEMA,20
BART,PEMA,18
BART,PEMA,16
BART,PEMA,19
BART,PEMA,16
BART,PEMA,19
BART,PEMA,20
BART,MYGA,29
BART,MYGA,37
BART,MYGA,34
BART,MYGA,30
BART,MYGA,26
BART,MYGA,24
BART,MYGA,21
BART,MYGA,13
BART,MYGA,17
BART,MYGA,38
BART,NAIN,24
BART,NAIN,26
BART,NAIN,24
BART,NAIN,30
BART,NAIN,16
BART,NAIN,18
BART,NAIN,21
BART,NAIN,24
BART,PELE,16
BART,PELE,15
BART,PELE,21
BART,PELE,19
BART,PEMA,15
BART,PEMA,27
BART,PEMA,22
BART,PEMA,28
BART,PEMA,24
BART,PEMA,24
BART,PEMA,22
BART,PEMA,19
BART,PEMA,20
BART,PEMA,17
BART,PEMA,16.5
BLAN,PELE,20
BLAN,PELE,23
BLAN,PELE,22
BLAN,PELE,20
BLAN,PELE,29
BLAN,PELE,25
BLAN,PELE,24
BLAN,PELE,20
BLAN,PELE,25
BLAN,PELE,25
BLAN,PELE,24
BLAN,PELE,17
BLAN,PELE,25
BLAN,PELE,24
BLAN,PELE,26.5
BLAN,PELE,15
BLAN,PELE,27
BLAN,PELE,17
BLAN,PELE,20
BLAN,PELE,22
BLAN,PELE,27
